SNAKE,CRISP
Agkistrodon_piscivorus,0.00E+00
Bitis_gabonica,0.00E+00
Boiga_irregularis,3.83E-02
Bothriechis_lateralis,3.20E-02
Bothriechis_schlegelii,3.60E-02
Bothrops_alternatus,2.20E-02
Bothrops_asper,8.00E-03
Bothrops_atrox,5.00E-03
Bothrops_colombiensis,0.00E+00
Bothrops_insularis,1.50E-02
Bothrops_jararacussu,1.00E-02
Bothrops_jararaca,2.20E-02
Bothrops_neuwiedi,3.00E-03
Bungarus_multicinctus,7.00E-03
Cerrophidion_godmani,2.60E-02
Crotalus_adamanteus,0.00E+00
Crotalus_durissus,0.00E+00
Crotalus_horridus,7.70E-03
Crotalus_simus,0.00E+00
Drysdalia_coronoides,2.80E-02
Echis_carinatus,2.00E-02
Echis_coloratus,5.00E-02
Echis_ocellatus,0.00E+00
Echis_pyramidum,0.00E+00
Gloydius_intermedius,6.20E-02
Hypsiglena_torquata,1.66E-01
Micrurus_corallinus,1.00E-04
Micrurus_lemniscatus,2.40E-03
Micrurus_spixii,0.00E+00
Micrurus_surinamensis,0.00E+00
Micrurus_altirostris,0.00E+00
Micrurus_fulvius,0.00E+00
Naja_atra,7.00E-03
Naja_kaouthia,0.00E+00
Ovophis_okinavensis,2.00E-03
Pantherophis_guttatus,8.80E-02
Phalotris_mertensi,3.30E-03
Philodryas_olfersii,1.04E-01
Protobothrops_flavoviridis,3.85E-02
Sistrurus_catenatus,6.67E-02
Thamnodynastes_strigatus,1.90E-02
Opheodrys_aestivus,0.00E+00
Dispholidus_typus,5.40E-02