SNAKE,CTL
Agkistrodon_piscivorus,1.70E-02
Bitis_gabonica,8.10E-02
Boiga_irregularis,1.40E-02
Bothriechis_lateralis,3.10E-02
Bothriechis_schlegelii,2.00E-03
Bothrops_alternatus,1.65E-01
Bothrops_asper,1.20E-02
Bothrops_atrox,4.80E-02
Bothrops_colombiensis,4.00E-02
Bothrops_insularis,1.42E-01
Bothrops_jararacussu,5.00E-02
Bothrops_jararaca,1.00E-01
Bothrops_neuwiedi,8.60E-02
Bungarus_multicinctus,3.60E-02
Cerrophidion_godmani,2.00E-03
Crotalus_adamanteus,2.24E-01
Crotalus_durissus,0.00E+00
Crotalus_horridus,1.90E-03
Crotalus_simus,2.40E-02
Drysdalia_coronoides,0.00E+00
Echis_carinatus,1.67E-01
Echis_coloratus,1.03E-01
Echis_ocellatus,3.00E-02
Echis_pyramidum,2.40E-01
Gloydius_intermedius,7.90E-03
Hypsiglena_torquata,6.10E-02
Micrurus_corallinus,3.35E-02
Micrurus_lemniscatus,2.90E-03
Micrurus_spixii,0.00E+00
Micrurus_surinamensis,1.70E-03
Micrurus_altirostris,1.30E-02
Micrurus_fulvius,7.90E-03
Naja_atra,6.00E-03
Naja_kaouthia,5.00E-03
Ovophis_okinavensis,4.60E-03
Pantherophis_guttatus,0.00E+00
Phalotris_mertensi,2.16E-01
Philodryas_olfersii,5.80E-02
Protobothrops_flavoviridis,1.52E-01
Sistrurus_catenatus,1.39E-02
Thamnodynastes_strigatus,5.40E-02
Opheodrys_aestivus,0.00E+00
Dispholidus_typus,4.00E-03