species,TFTx,BPP,CRISP,CTL,GF,OHA,LAAO,PLA2,SVMP,SVSP,Sum of 10 ,Others,Sum,cm,family,subfamily
Agkistrodon_piscivorus,0,0,0,0.036,0,0,0.01,0.74,0.058,0.046,0.89,0.11,1,127,Viperidae,Crotalinae
Bitis_gabonica,0,0.016,0,0.067,0.032,0,0.05,0.05,0.3,0.13,0.645,0.348,0.993,120,Viperidae,Viperinae
Boiga_irregularis,0.659,0,0.0383,0.015,0.004,0,0,0.004,0.248,0,0.9683,0.0227,0.991,270,Colubridae,Boiginae
Bothriechis_lateralis,0.016,0.236,0.032,0.031,0.018,0.033,0.034,0.03,0.449,0.104,0.983,0.0159,0.9989,90,Viperidae,Crotalinae
Bothriechis_schlegelii,0.036,0.153,0.036,0.002,0.049,0.116,0.032,0.1,0.263,0.203,0.99,0.0088,0.9988,55,Viperidae,Crotalinae
Bothrops_alternatus,0,0.118,0.022,0.165,0.025,0,0.018,0.01,0.585,0.051,0.994,,0.994,100,Viperidae,Colubroidea
Bothrops_asper,0.008,0.15,0.008,0.012,0.009,0.028,0.042,0.18,0.416,0.134,0.987,0.013,1,150,Viperidae,Crotalinae
Bothrops_atrox,0,0.071,0.005,0.048,0.01,0,0.014,0.146,0.616,0.082,0.992,0.005,0.997,100,Viperidae,Crotalinae
Bothrops_colombiensis,0,0.01,0.02,0.04,0.02,0,0.02,0.3,0.37,0.12,0.9,0.1,1,100,Viperidae,Crotalinae
Bothrops_insularis,0,0.158,0.015,0.142,0.047,0,0.035,0.054,0.433,0.112,0.996,0,0.996,150,Viperidae,Crotalinae
Bothrops_jararacussu,0,0,0.016,0.08,0.016,0,0.016,0.56,0.258,0.038,0.984,0.016,1,70,Viperidae,Crotalinae
Bothrops_jararaca,0,0.061,0.022,0.1,0.005,0,0.005,0.02,0.421,0.345,0.979,0.02,0.999,160,Viperidae,Crotalinae
Bothrops_neuwiedi,0,0.174,0.007,0.086,0.015,0.0036,0.029,0.264,0.36,0.053,0.9916,0.0072,0.9988,65,Viperidae,Crotalinae
Bungarus_multicinctus,0.647,0,0.007,0.038,0.001,0,0.001,0.032,0,0,0.726,0.273,0.999,125,Elapidae,Elapinae
Cerrophidion_godmani,0.006,0.083,0.026,0.002,0.006,0.02,0.055,0.08,0.422,0.281,0.981,0.017,0.998,55,Viperidae,Crotalinae
Crotalus_adamanteus,0,0.007,0,0.224,0.001,0,0.0539,0.0781,0.27,0.159,0.793,0.182,0.975,244,Viperidae,Crotalinae
Crotalus_durissus,0,0,0,0,0.04,0,0,0.42,0.03,0.025,0.515,0.485,1,150,Viperidae,Crotalinae
Crotalus_horridus,0,0.12519,0.0077,0.002,0.0241,0,0.01106,0.2277,0.0011,0.58228,0.98113,0.017,0.99813,121,Viperidae,Crotalinae
Crotalus_simus,0.127,0.134,0,0.024,0.045,0.15,0.038,0.12,0.065,0.281,0.984,0.0137,0.9977,150,Viperidae,Crotalinae
Drysdalia_coronoides,0.86,0,0.028,0,0.014,0,0,0.007,0,0,0.909,0.09,0.999,40,Elapidae,Hydrophiinae
Echis_carinatus,0,0,,0.167,0,0,0,0.0789,0.574,0.0459,0.8658,0.134,0.9998,60,Viperidae,Crotalinae
Echis_coloratus,0,0,0,0.1027,0,0,0,0.052,0.611,0.0438,0.8095,0.188,0.9975,62.7,Viperidae,Crotalinae
Echis_ocellatus,0,0,0,0.1069,0,0,0,0.083,0.696,0.0231,0.909,0.09,0.999,40,Viperidae,Crotalinae
Echis_pyramidum,0,0,0,0.239,0,0,0,0.205,0.498,0.0198,0.9618,0.035,0.9968,65,Viperidae,Crotalinae
Gloydius_intermedius,0,0.253,0.062,0.0079,0.038,0,0.131,0.1,0.026,0.362,0.9799,0.0114,0.9913,53.3,Viperidae,Crotalinae
Hypsiglena_torquata,0.0007,0,0.16684,0.0617,0.0001,0,0,0,0.6718,0,0.90114,0.08394,0.98508,48,Viperidae,Crotalinae
Micrurus_corallinus,0.203,0,0.0001,0.0335,0.0125,0,0.0084,0.38,0.021,0.001,0.6595,0.3374,0.9969,72.5,Elapidae,Elapinae
Micrurus_lemniscatus,0.672,0,0.0024,0.0029,0.0151,0,0.0073,0.17,0.0112,0.0117,0.8926,0.0909,0.9835,120,Elapidae,Elapinae
Micrurus_spixii,0.625,0,0,0,0.0011,0,0,0.36,0,0.0024,0.9885,0.0091,0.9976,75,Elapidae,Elapinae
Micrurus_surinamensis,0.6024,0,0,0.0017,0.0789,0,0.005,0.2623,0.0014,0.0001,0.9518,0.0481,0.9999,68,Elapidae,Elapinae
Micrurus_altirostris,0.864,0,0,0.013,0,0.002,0,0.049,0.006,0,0.934,0.066,1,64,Elapidae,Elapinae
Micrurus_fulvius,0.2113,0,0,0.0079,0.01638,0,0.0088,0.6432,0.0294,0,0.91698,0.07818,0.99516,55,Elapidae,Elapinae
Naja_atra,0.958,0,0.007,0.006,0.002,0,0.001,0.012,0.004,0,0.99,0.008,0.998,150,Elapidae,Elapinae
Naja_kaouthia,0.82,0,0,0.005,0.003,0.009,0.002,0.14,0,0,0.979,0.021,1,150,Elapidae,Elapinae
Ovophis_okinavensis,0,0,0.002,0.0046,0.00452,0,0.0062,0.0064,0.042,0.931,0.99672,0.00328,1,55,Viperidae,Crotalinae
Pantherophis_guttatus,0.0095,0,0.022,0,0.0136,0,0,0.129,0,0,0.1741,0.823,0.9971,150,Colubridae,Colubroidea
Phalotris_mertensi,0.018,0,0.0033,0.216,0.004,0.0027,0.023,0.007,0.219,0.0022,0.4952,0.5043,0.9995,100,Colubridae,Colubroidea
Philodryas_olfersii,0,0,0.104,0.058,0,0,0,0,0.524,0.089,0.775,0.224,0.999,125,Colubridae,Colubroidea
Protobothrops_flavoviridis,0,0,0.0385,0.152,0.0096,0,0.09,0.32,0.269,0.0851,0.9642,0.0358,1,137,Viperidae,Crotalinae
Sistrurus_catenatus,0.0083,0.0028,0.0667,0.0139,0.0667,0,0.0361,0.28,0.122,0.375,0.9715,0.0173,0.9888,73.5,Viperidae,Crotalinae
Thamnodynastes_strigatus,0.002,0,0.019,0.054,0.039,0,0,0,0.762,0.082,0.958,0.042,1,70,Colubridae,Colubroidea
Opheodrys_aestivus,0.1326,0,0,0,0.00913,0,0,0.0364,0,0,0.17813,0.8217,0.99983,91.5,Colubridae,Colubroidea
Dispholidus_typus,0.062,0,0.054,0.004,0.001,0,0,0.076,0.746,0.055,0.998,0.002,1,135,Colubridae,Colubroidea
Protobothrops_elegans,0,0.014,0.001,0.002,0.006,0,0.005,0.771,0.081,0.104,0.984,0.003,0.987,120,Viperidae,Crotalinae
Protobothrops_mucrosquamatus,0,0.026,0.02,0.003,0.018,0,0.031,0.555,0.173,0.118,0.944,0.051,0.995,116,Viperidae,Crotalinae
