SNAKE,Avg size(cm),ln size,PLA2,ln PLA2
Agkistrodon_piscivorus,1.27E+02,4.844187086,3.20E-01,-1.139434283
Bitis_gabonica,1.20E+02,4.787491743,3.20E-01,-1.139434283
Boiga_irregularis,2.70E+02,5.598421959,0.00E+00,0
Bothriechis_lateralis,9.00E+01,4.49980967,3.00E-02,-3.506557897
Bothriechis_schlegelii,5.50E+01,4.007333185,1.00E-01,-2.302585093
Bothrops_alternatus,1.00E+02,4.605170186,1.00E-02,-4.605170186
Bothrops_asper,1.50E+02,5.010635294,1.80E-01,-1.714798428
Bothrops_atrox,1.00E+02,4.605170186,1.50E-01,-1.897119985
Bothrops_colombiensis,1.00E+02,4.605170186,3.00E-01,-1.203972804
Bothrops_insularis,1.00E+02,4.605170186,5.00E-02,-2.995732274
Bothrops_jararacussu,1.00E+02,4.605170186,3.50E-01,-1.049822124
Bothrops_jararaca,1.00E+02,4.605170186,2.00E-02,-3.912023005
Bothrops_neuwiedi,6.50E+01,4.17438727,2.60E-01,-1.347073648
Bungarus_multicinctus,1.25E+02,4.828313737,3.00E-02,-3.506557897
Cerrophidion_godmani,5.50E+01,4.007333185,8.00E-02,-2.525728644
Crotalus_adamanteus,2.44E+02,5.497168225,0.00E+00,0
Crotalus_durissus,1.50E+02,5.010635294,0.00E+00,0
Crotalus_horridus,1.21E+02,4.795790546,8.00E-02,-2.525728644
Crotalus_simus,1.50E+02,5.010635294,1.20E-01,-2.120263536
Drysdalia_coronoides,4.00E+01,3.688879454,0.00E+00,0
Echis_carinatus,6.00E+01,4.094344562,8.00E-02,-2.525728644
Echis_coloratus,6.27E+01,4.138361448,5.00E-02,-2.995732274
Echis_ocellatus,4.00E+01,3.688879454,5.00E-02,-2.995732274
Echis_pyramidum,6.50E+01,4.17438727,2.10E-01,-1.560647748
Gloydius_intermedius,5.33E+01,3.975936331,1.00E-01,-2.302585093
Hypsiglena_torquata,4.80E+01,3.871201011,5.00E-02,-2.995732274
Micrurus_corallinus,7.25E+01,4.283586562,3.80E-01,-0.967584026
Micrurus_lemniscatus,1.20E+02,4.787491743,1.70E-01,-1.771956842
Micrurus_spixii,7.50E+01,4.317488114,3.60E-01,-1.021651248
Micrurus_surinamensis,6.80E+01,4.219507705,2.60E-01,-1.347073648
Micrurus_altirostris,6.40E+01,4.158883083,5.00E-02,-2.995732274
Micrurus_fulvius,5.50E+01,4.007333185,6.10E-01,-0.494296322
Naja_atra,1.50E+02,5.010635294,1.00E-02,-4.605170186
Naja_kaouthia,1.50E+02,5.010635294,1.40E-01,-1.966112856
Ovophis_okinavensis,5.50E+01,4.007333185,1.00E-02,-4.605170186
Pantherophis_guttatus,1.50E+02,5.010635294,5.20E-01,-0.653926467
Phalotris_mertensi,1.00E+02,4.605170186,1.00E-02,-4.605170186
Philodryas_olfersii,1.25E+02,4.828313737,0.00E+00,0
Protobothrops_flavoviridis,1.37E+02,4.919980926,3.20E-01,-1.139434283
Sistrurus_catenatus,7.35E+01,4.297285406,2.80E-01,-1.272965676
Thamnodynastes_strigatus,7.00E+01,4.248495242,0.00E+00,0
Opheodrys_aestivus,9.15E+01,4.516338972,3.60E-02,-3.324236341
Dispholidus_typus,1.35E+02,4.905274778,7.60E-02,-2.577021939